                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.00042,                0.67433,                0.97701,                 1.6009,             0.00028282,             0.00028282,             0.00028282
                     64,                0.00033,                0.67663,                0.97701,                 1.6026,             0.00027575,             0.00027575,             0.00027575
                     65,                0.00083,                0.67203,                0.97548,                 1.6054,             0.00026868,             0.00026868,             0.00026868
                     66,                 0.0004,                 0.6705,                0.97471,                 1.6029,             0.00026161,             0.00026161,             0.00026161
                     67,                0.00023,                 0.6728,                0.97241,                  1.603,             0.00025454,             0.00025454,             0.00025454
                     68,                0.00016,                0.67126,                0.97318,                 1.6013,             0.00024747,             0.00024747,             0.00024747
                     69,                0.00032,                 0.6659,                0.97931,                 1.6045,              0.0002404,              0.0002404,              0.0002404
                     70,                0.00078,                0.67663,                0.97701,                 1.6021,             0.00023334,             0.00023334,             0.00023334
                     71,                0.00013,                0.67203,                0.97701,                  1.604,             0.00022627,             0.00022627,             0.00022627
                     72,                0.00016,                0.67356,                0.97701,                 1.6035,              0.0002192,              0.0002192,              0.0002192
                     73,                0.00011,                 0.6751,                0.97778,                 1.6022,             0.00021213,             0.00021213,             0.00021213
                     74,                0.00016,                0.67433,                0.97318,                 1.6022,             0.00020506,             0.00020506,             0.00020506
                     75,                0.00015,                0.66973,                0.97471,                 1.6035,             0.00019799,             0.00019799,             0.00019799
                     76,                0.00012,                0.66973,                0.97548,                 1.6051,             0.00019092,             0.00019092,             0.00019092
                     77,                0.00014,                 0.6705,                0.97318,                 1.6045,             0.00018385,             0.00018385,             0.00018385
                     78,                  9e-05,                0.66897,                0.97395,                  1.604,             0.00017679,             0.00017679,             0.00017679
                     79,                  9e-05,                 0.6682,                0.97548,                 1.6051,             0.00016972,             0.00016972,             0.00016972
                     80,                  7e-05,                0.66897,                0.97471,                 1.6045,             0.00016265,             0.00016265,             0.00016265
                     81,                  9e-05,                0.67126,                0.97548,                 1.6034,             0.00015558,             0.00015558,             0.00015558
                     82,                  9e-05,                0.66897,                0.97395,                 1.6036,             0.00014851,             0.00014851,             0.00014851
                     83,                  6e-05,                 0.6705,                0.97471,                 1.6035,             0.00014144,             0.00014144,             0.00014144
                     84,                  5e-05,                0.67126,                0.97395,                  1.603,             0.00013437,             0.00013437,             0.00013437
                     85,                0.00015,                0.66973,                0.97318,                  1.604,             0.00012731,             0.00012731,             0.00012731
                     86,                  5e-05,                 0.6705,                0.97395,                 1.6034,             0.00012024,             0.00012024,             0.00012024
                     87,                0.00012,                 0.6705,                0.97548,                 1.6047,             0.00011317,             0.00011317,             0.00011317
                     88,                  7e-05,                0.67203,                0.97625,                 1.6025,              0.0001061,              0.0001061,              0.0001061
                     89,                  4e-05,                0.67203,                0.97395,                 1.6019,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                  7e-05,                0.67126,                0.97701,                 1.6026,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                  6e-05,                 0.6705,                0.97471,                 1.6016,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                  4e-05,                0.67203,                0.97701,                 1.6023,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                  5e-05,                 0.6728,                0.97701,                 1.6016,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                  7e-05,                 0.6705,                0.97701,                 1.6017,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                  3e-05,                0.67126,                0.97625,                 1.6023,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                  7e-05,                 0.6682,                0.97625,                 1.6024,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                  5e-05,                0.66973,                0.97701,                  1.602,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                  4e-05,                0.66973,                0.97701,                 1.6024,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                  4e-05,                0.67126,                0.97625,                 1.6029,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                  6e-05,                0.67203,                0.97701,                  1.602,             2.1277e-05,             2.1277e-05,             2.1277e-05
